"id","zhName","enName","alias","brief","region","party","birthInfo","deathInfo","nativePlace","livePlace","school","info","belief","achievement","masterwork","nation","post","degree","gender","major","picAddress","source","identity","personality","twitter","facebook","localPic"
0,"123","22233","","","","","","","","","","[123123]","","","","","","","","","","","","","","",""
1,"陈师孟","","","陈师孟（1948年8月4日－），中华民国政治人物、经济学家，籍贯浙江省宁波，生于美国马里兰州。祖父为前总统蒋中正文胆陈布雷、父母皆为宁波人，1岁后随家人自美迁台，曾任总统府秘书长、台北市副市长、民主进步党秘书长、国立台湾大学教授、第五届监察委员，也是赖景昌、林金龙、林忠正、陈文郎、官德星等台湾经济学者的指导教授。","中华民国","中国国民党（1966年－1991年） ?民主进步党（1991年－2011年7月） 无党籍（2011年7月－）","(1948-08-04) 1948年8月4日（72岁） ?美国马里兰州","","中华民国浙江宁波","","美国俄亥俄州立大学","家庭&:&祖父陈布雷为蒋中正文胆，徐蚌会战中华民国政府失利之后于1948年11月13日在南京自杀身亡。父亲陈迟为农学专家。$:$经历&:&国立台南第一高级中学毕业后以大学联考丁组（法商类科系）榜首考进国立台湾大学经济学系，毕业后在中央研究院任助理一年后赴美国俄亥俄州立大学取得经济学硕士和博士学位。陈师孟的姑姑陈琏，在中国大陆因文化大革命受迫害，于1967年11月19日跳楼自杀。1966年，陈师孟加入中国国民党。1991年，因推动废除中华民国刑法第一百条退出中国国民党、并加入民主进步党。次年二月至九月，任民主进步党秘书长；并与张忠栋、戴鉴、廖中山、夏子勋、锺佳滨等七十二多人基于“在台湾独立建国的行列里，外省人不该缺席”的理念，1992年加入外省人台湾独立促进会。 陈师孟曾在陈水扁台北市市长任内担任副市长。2000年中华民国总统大选后，陈入中华民国中央银行任副总裁，2002年出任中华民国总统府秘书长。2003到2004年，担任陈水扁创立之凯达格兰学校的首任校长。2004年5月13日，凯达格兰学校召开校务会议，宣布陈师孟请辞校长，李鸿禧接任校长。2006年8月28日，于自由时报发表〈剖视“倒扁”连续剧〉一文抨击百万人民倒扁运动。 2008年3月，民主进步党总统候选人兼代理主席谢长廷在总统选举中落败，宣布将于同年5月辞职，陈师孟曾为接任主席的热门人选之一。4月25日，出席民主进步党第12届党主席选举参选人辜宽敏的宣布参选记者会，表态支持辜宽敏，担任辜宽敏竞选办公室执行长，并认为辜宽敏配蔡英文是最佳组合。5月18日，民主进步党宣布第12届党主席选举开票结果，蔡英文当选，台湾南社公开呼吁蔡英文“重用”陈师孟，但陈师孟拒绝。 2011年7月，因为王定宇未获民主进步党提名参选台南市第五选举区立法委员，陈师孟私下将党证连同退党声明书退回民主进步党台北市党部，退出民主进步党。2017年3月，陈师孟获总统蔡英文提名为监察委员候选人。2018年1月16日，陈师孟通过立法院同意，当选监察委员。2020年1月，陈师孟欲约询判决马英九涉泄密案无罪的法官，引发司法界串联大反弹以及司法院长许宗力公开批评伤害司法，并且弹劾桃园检察长坜新医院逃漏税刑事官司关说案未成不知为何而战为此他向蔡英文请辞获准。$:$轶闻&:&其名“师孟”为祖父陈布雷所取，系来自其父陈迟所起之英文名“Sherman”。","","","","","民主进步党第3任秘书长: 1992年4月1日－1992年9月23日;中华民国第5届监察委员: 2018年1月16日－2020年1月31日;中华民国第20任总统府秘书长: 2002年2月1日－2003年2月5日","学士","男","政治","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/%E9%99%B3%E5%B8%AB%E5%AD%9F%E7%9B%A3%E5%AF%9F%E5%A7%94%E5%93%A1.jpg/220px-%E9%99%B3%E5%B8%AB%E5%AD%9F%E7%9B%A3%E5%AF%9F%E5%A7%94%E5%93%A1.jpg","https://zh.wikipedia.org/wiki/%E9%99%B3%E5%B8%AB%E5%AD%9F","政治","","","","1.jpg"
